,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,75.508,48.815,75.410,74.083,78.333,54.025,57.770,66.278
Boulware-Conceder,31.665,32.848,16.095,28.517,48.918,44.658,50.800,36.215
Boulware-Linear,57.828,45.978,54.668,58.783,68.392,44.485,53.880,54.859
Boulware-Atlas3,60.012,46.103,42.540,68.135,71.298,48.940,53.180,55.744
Conceder-Conceder,6.473,8.078,7.247,7.640,10.208,4.232,9.987,7.695
Conceder-Linear,15.872,26.158,12.087,11.047,21.988,9.523,24.632,17.330
Conceder-Atlas3,13.985,34.807,10.732,13.428,31.078,17.248,38.960,22.891
Linear-Linear,33.517,30.703,34.378,25.705,41.508,16.563,34.605,30.997
Linear-Atlas3,37.833,37.542,27.105,28.423,45.575,24.370,39.645,34.356
Atlas3-Atlas3,39.387,39.192,26.727,33.167,49.972,31.255,40.125,37.118
Average,37.208,35.023,30.699,34.893,46.727,29.530,40.358,36.348
