,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,1.218,1.104,0.949,1.428,2.583,1.456
Boulware-Conceder,1.896,1.758,1.774,1.942,2.491,1.972
Boulware-Linear,1.713,1.734,1.740,1.884,2.551,1.924
Boulware-Atlas3,1.640,1.148,1.354,1.775,2.573,1.698
Conceder-Conceder,1.971,1.752,1.796,1.895,2.362,1.955
Conceder-Linear,1.955,1.840,1.802,2.122,2.560,2.056
Conceder-Atlas3,1.884,1.825,1.795,2.099,2.504,2.021
Linear-Linear,1.935,1.816,1.810,2.107,2.696,2.073
Linear-Atlas3,1.883,1.712,1.708,1.971,2.719,1.999
Atlas3-Atlas3,1.894,1.820,1.770,2.075,2.747,2.061
Average,1.799,1.651,1.650,1.930,2.578,1.922
