,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,76.272,62.435,75.385,75.957,77.163,73.597,76.542,73.907
Boulware-Conceder,12.560,32.467,8.008,27.998,51.302,56.713,69.878,36.990
Boulware-Linear,52.510,59.235,50.353,50.570,65.032,64.705,67.902,58.615
Boulware-Atlas3,53.417,73.557,38.470,59.948,73.720,66.210,71.773,62.442
Conceder-Conceder,7.823,12.658,10.740,7.957,13.260,6.175,20.738,11.336
Conceder-Atlas3,17.333,35.717,11.335,13.013,35.358,22.143,37.428,24.618
Linear-Conceder,21.927,24.380,14.155,14.738,28.078,16.043,31.125,21.492
Linear-Linear,33.510,34.715,31.273,34.215,42.093,22.348,42.583,34.391
Linear-Atlas3,34.467,45.870,30.327,32.507,47.112,33.415,48.365,38.866
Atlas3-Atlas3,35.933,49.328,27.267,38.078,51.550,42.870,52.332,42.480
Average,34.575,43.036,29.731,35.498,48.467,40.422,51.867,40.514
