,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,65.333%,64.167%,54.500%,76.000%,99.833%,71.967%
Boulware-Conceder,96.500%,99.833%,99.667%,100.000%,100.000%,99.200%
Boulware-Linear,86.833%,92.500%,94.000%,93.000%,100.000%,93.267%
Boulware-Atlas3,87.833%,64.333%,74.833%,88.500%,100.000%,83.100%
Conceder-Conceder,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Conceder-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Linear,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Linear-Atlas3,100.000%,100.000%,98.500%,100.000%,100.000%,99.700%
Atlas3-Atlas3,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%
Average,93.650%,92.083%,92.150%,95.750%,99.983%,94.723%
