,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,2.348,2.043,2.510,2.204,1.714,2.350,1.713,2.126
Boulware-Conceder,2.336,2.014,2.536,2.249,1.908,2.256,1.809,2.158
Boulware-Linear,2.402,1.989,2.587,2.299,1.820,2.364,1.761,2.175
Boulware-Atlas3,2.400,1.904,2.537,2.307,1.794,2.312,1.794,2.150
Conceder-Conceder,2.426,1.951,2.540,2.230,1.886,2.235,1.700,2.138
Conceder-Atlas3,2.374,1.957,2.683,2.469,1.910,2.278,1.811,2.212
Linear-Conceder,2.443,2.096,2.653,2.476,1.918,2.397,1.835,2.260
Linear-Linear,2.493,2.068,2.670,2.440,1.938,2.509,1.842,2.280
Linear-Atlas3,2.476,1.896,2.700,2.471,1.828,2.357,1.802,2.219
Atlas3-Atlas3,2.484,2.054,2.717,2.458,1.883,2.245,1.770,2.230
Average,2.418,1.997,2.613,2.360,1.860,2.330,1.784,2.195
