,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,78.775,78.295,79.635,78.097,71.145,77.189
Boulware-Conceder,53.052,37.648,58.517,36.348,28.012,42.715
Boulware-Linear,67.797,67.782,70.490,62.000,36.825,60.979
Boulware-Atlas3,72.863,74.712,74.908,70.423,40.362,66.654
Conceder-Conceder,8.508,9.745,10.163,7.333,4.695,8.089
Conceder-Linear,28.668,23.247,29.005,13.667,8.083,20.534
Conceder-Atlas3,37.452,29.642,32.555,20.663,10.250,26.112
Linear-Linear,43.550,46.615,48.328,41.137,15.670,39.060
Linear-Atlas3,44.915,49.422,52.975,43.585,17.367,41.653
Atlas3-Atlas3,51.755,51.747,49.947,48.137,20.515,44.420
Average,48.733,46.885,50.652,42.139,25.292,42.740
