,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.727,0.468,0.751,0.716,0.431,0.453,0.331,0.554
Boulware-Conceder,0.678,0.490,0.778,0.546,0.626,0.457,0.404,0.569
Boulware-Linear,0.734,0.453,0.796,0.667,0.601,0.448,0.374,0.582
Boulware-Atlas3,0.746,0.456,0.784,0.703,0.617,0.430,0.399,0.591
Conceder-Conceder,0.788,0.626,0.818,0.754,0.670,0.694,0.512,0.694
Conceder-Linear,0.784,0.520,0.825,0.708,0.570,0.651,0.513,0.653
Conceder-Atlas3,0.749,0.523,0.837,0.676,0.561,0.600,0.543,0.641
Linear-Linear,0.755,0.533,0.852,0.745,0.615,0.616,0.464,0.654
Linear-Atlas3,0.781,0.556,0.824,0.722,0.658,0.558,0.548,0.664
Atlas3-Atlas3,0.783,0.517,0.859,0.714,0.660,0.534,0.480,0.650
Average,0.752,0.514,0.812,0.695,0.601,0.544,0.457,0.625
