,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,2.257,2.078,2.350,2.229,1.256,2.260,1.707,2.020
Boulware-Conceder,2.287,2.062,2.567,2.130,1.851,2.067,1.846,2.116
Boulware-Linear,2.360,2.040,2.584,2.291,1.779,2.177,1.844,2.153
Boulware-Atlas3,2.362,2.031,2.571,2.305,1.744,2.125,1.825,2.138
Conceder-Conceder,2.308,1.834,2.425,2.025,1.763,2.097,1.512,1.995
Conceder-Linear,2.426,1.918,2.569,2.383,1.868,2.329,1.828,2.189
Conceder-Atlas3,2.413,1.973,2.588,2.376,1.802,2.205,1.804,2.166
Linear-Linear,2.374,2.044,2.568,2.399,1.898,2.383,1.806,2.210
Linear-Atlas3,2.439,1.987,2.609,2.430,1.672,2.279,1.792,2.172
Atlas3-Atlas3,2.446,2.042,2.662,2.438,1.815,2.202,1.812,2.202
Average,2.367,2.001,2.549,2.301,1.745,2.213,1.778,2.136
