,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.499,0.271,0.627,0.432,0.190,0.487,0.188,0.385
Boulware-Conceder,0.446,0.159,0.589,0.374,0.185,0.323,0.142,0.317
Boulware-Linear,0.495,0.231,0.632,0.404,0.181,0.441,0.145,0.361
Boulware-Atlas3,0.495,0.238,0.590,0.436,0.184,0.411,0.152,0.358
Conceder-Conceder,0.517,0.250,0.599,0.376,0.215,0.383,0.138,0.354
Conceder-Atlas3,0.470,0.236,0.712,0.535,0.201,0.391,0.149,0.385
Linear-Conceder,0.528,0.281,0.687,0.545,0.226,0.463,0.195,0.418
Linear-Linear,0.571,0.259,0.703,0.520,0.258,0.575,0.205,0.441
Linear-Atlas3,0.560,0.238,0.727,0.549,0.189,0.454,0.169,0.412
Atlas3-Atlas3,0.565,0.221,0.741,0.544,0.159,0.364,0.116,0.387
Average,0.515,0.238,0.661,0.472,0.199,0.429,0.160,0.382
