,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.466,0.237,0.566,0.449,0.132,0.318,0.101,0.324
Boulware-Conceder,0.416,0.155,0.614,0.287,0.159,0.146,0.054,0.262
Boulware-Linear,0.471,0.194,0.629,0.403,0.182,0.227,0.079,0.312
Boulware-Atlas3,0.473,0.203,0.618,0.434,0.175,0.209,0.057,0.310
Conceder-Conceder,0.453,0.226,0.523,0.309,0.187,0.326,0.114,0.306
Conceder-Linear,0.511,0.230,0.622,0.478,0.213,0.439,0.201,0.385
Conceder-Atlas3,0.497,0.223,0.635,0.464,0.167,0.350,0.156,0.356
Linear-Linear,0.494,0.268,0.624,0.505,0.245,0.454,0.177,0.395
Linear-Atlas3,0.533,0.237,0.657,0.516,0.150,0.385,0.157,0.376
Atlas3-Atlas3,0.538,0.232,0.697,0.519,0.174,0.310,0.119,0.370
Average,0.485,0.221,0.618,0.437,0.178,0.316,0.122,0.340
