,Laptop,ItexvsCypress,IS_BT_Acquisition,Grocery,thompson,Car,EnergySmall_A,Average
Boulware-Boulware,0.813,0.581,0.833,0.813,0.543,0.823,0.548,0.708
Boulware-Conceder,0.668,0.534,0.768,0.678,0.642,0.798,0.656,0.678
Boulware-Linear,0.744,0.574,0.814,0.700,0.587,0.864,0.558,0.692
Boulware-Atlas3,0.744,0.656,0.768,0.708,0.659,0.818,0.614,0.710
Conceder-Conceder,0.913,0.848,0.956,0.924,0.828,0.890,0.792,0.879
Conceder-Atlas3,0.788,0.719,0.910,0.832,0.722,0.814,0.759,0.792
Linear-Conceder,0.837,0.673,0.894,0.863,0.748,0.878,0.667,0.794
Linear-Linear,0.826,0.605,0.920,0.888,0.724,0.844,0.605,0.773
Linear-Atlas3,0.816,0.734,0.918,0.851,0.773,0.791,0.718,0.800
Atlas3-Atlas3,0.830,0.740,0.937,0.830,0.869,0.822,0.847,0.839
Average,0.798,0.666,0.872,0.809,0.710,0.834,0.676,0.766
