,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,0.386,0.356,0.338,0.493,0.847,0.484
Boulware-Conceder,0.620,0.342,0.473,0.473,0.781,0.538
Boulware-Linear,0.589,0.423,0.541,0.498,0.807,0.571
Boulware-Atlas3,0.538,0.337,0.448,0.514,0.815,0.530
Conceder-Conceder,0.703,0.601,0.606,0.663,0.849,0.685
Conceder-Linear,0.586,0.522,0.571,0.632,0.838,0.630
Conceder-Atlas3,0.593,0.505,0.580,0.627,0.818,0.625
Linear-Linear,0.603,0.529,0.605,0.726,0.878,0.669
Linear-Atlas3,0.666,0.630,0.654,0.662,0.888,0.700
Atlas3-Atlas3,0.677,0.646,0.673,0.679,0.889,0.713
Average,0.596,0.489,0.549,0.597,0.841,0.614
