,Coffee,Camera,Lunch,SmartPhone,Kitchen,Average
Boulware-Boulware,0.143,0.116,0.103,0.191,0.640,0.239
Boulware-Conceder,0.219,0.120,0.161,0.225,0.580,0.261
Boulware-Linear,0.210,0.182,0.191,0.263,0.615,0.292
Boulware-Atlas3,0.185,0.115,0.149,0.258,0.631,0.268
Conceder-Conceder,0.268,0.193,0.204,0.248,0.486,0.280
Conceder-Linear,0.256,0.205,0.193,0.328,0.614,0.319
Conceder-Atlas3,0.220,0.179,0.177,0.313,0.570,0.292
Linear-Linear,0.253,0.200,0.215,0.343,0.723,0.347
Linear-Atlas3,0.226,0.171,0.185,0.290,0.741,0.322
Atlas3-Atlas3,0.224,0.178,0.175,0.318,0.766,0.332
Average,0.220,0.166,0.175,0.278,0.637,0.295
